,status_group
0,3
1,3
2,3
3,1
4,3
5,3
6,1
7,1
8,1
9,3
10,3
11,3
12,3
13,3
14,3
15,3
16,1
17,1
18,2
19,3
20,3
21,3
22,2
23,3
24,3
25,2
26,3
27,3
28,1
29,3
30,3
31,3
32,2
33,3
34,3
35,1
36,1
37,3
38,3
39,1
40,3
41,3
42,3
43,1
44,2
45,1
46,2
47,3
48,3
49,3
50,3
51,1
52,3
53,1
54,3
55,1
56,3
57,1
58,3
59,2
60,3
61,1
62,2
63,1
64,3
65,1
66,3
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,3
75,1
76,3
77,3
78,1
79,3
80,3
81,2
82,3
83,3
84,1
85,1
86,3
87,1
88,1
89,2
90,2
91,1
92,1
93,3
94,1
95,3
96,1
97,3
98,2
99,1
100,1
101,3
102,3
103,2
104,3
105,3
106,3
107,1
108,1
109,3
110,1
111,3
112,3
113,3
114,1
115,1
116,3
117,1
118,3
119,1
120,1
121,3
122,1
123,3
124,3
125,1
126,3
127,3
128,1
129,1
130,3
131,3
132,3
133,3
134,3
135,3
136,1
137,1
138,3
139,3
140,1
141,3
142,1
143,3
144,1
145,3
146,2
147,3
148,1
149,3
150,3
151,3
152,1
153,1
154,3
155,1
156,3
157,2
158,3
159,3
160,3
161,1
162,3
163,3
164,3
165,3
166,3
167,1
168,3
169,3
170,3
171,1
172,3
173,3
174,1
175,3
176,3
177,1
178,3
179,1
180,3
181,3
182,3
183,1
184,3
185,3
186,1
187,3
188,2
189,3
190,1
191,3
192,3
193,1
194,3
195,3
196,3
197,1
198,1
199,2
200,3
201,1
202,3
203,3
204,2
205,1
206,3
207,3
208,1
209,3
210,1
211,1
212,1
213,1
214,2
215,1
216,2
217,3
218,3
219,2
220,3
221,2
222,1
223,3
224,1
225,3
226,3
227,3
228,3
229,3
230,3
231,1
232,2
233,1
234,1
235,1
236,1
237,2
238,2
239,1
240,1
241,1
242,1
243,1
244,3
245,1
246,3
247,3
248,3
249,1
250,3
251,3
252,1
253,2
254,3
255,1
256,1
257,1
258,3
259,1
260,1
261,1
262,1
263,1
264,3
265,1
266,2
267,3
268,3
269,3
270,1
271,1
272,3
273,3
274,3
275,1
276,3
277,1
278,3
279,2
280,3
281,3
282,3
283,1
284,2
285,3
286,1
287,3
288,3
289,1
290,1
291,1
292,3
293,3
294,3
295,3
296,1
297,1
298,1
299,1
300,3
301,3
302,3
303,1
304,3
305,1
306,3
307,2
308,2
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,3
317,1
318,1
319,2
320,2
321,2
322,3
323,1
324,3
325,1
326,3
327,3
328,3
329,1
330,1
331,3
332,3
333,3
334,3
335,3
336,1
337,1
338,3
339,3
340,3
341,3
342,1
343,3
344,3
345,1
346,3
347,1
348,3
349,3
350,3
351,3
352,2
353,3
354,2
355,2
356,1
357,2
358,1
359,3
360,1
361,1
362,3
363,3
364,1
365,3
366,3
367,3
368,3
369,3
370,3
371,3
372,3
373,3
374,1
375,1
376,3
377,2
378,2
379,3
380,3
381,2
382,3
383,3
384,3
385,3
386,1
387,1
388,3
389,3
390,3
391,1
392,3
393,1
394,1
395,3
396,3
397,1
398,1
399,3
400,1
401,3
402,3
403,1
404,1
405,3
406,3
407,3
408,2
409,3
410,1
411,1
412,1
413,3
414,2
415,1
416,3
417,1
418,3
419,3
420,3
421,3
422,1
423,3
424,1
425,1
426,1
427,1
428,1
429,3
430,3
431,1
432,3
433,3
434,2
435,1
436,3
437,1
438,1
439,3
440,1
441,1
442,2
443,3
444,3
445,2
446,3
447,3
448,3
449,3
450,1
451,3
452,3
453,1
454,3
455,3
456,1
457,3
458,3
459,3
460,3
461,1
462,3
463,3
464,3
465,3
466,1
467,3
468,1
469,1
470,3
471,1
472,3
473,3
474,3
475,1
476,3
477,3
478,1
479,3
480,2
481,3
482,2
483,1
484,3
485,1
486,1
487,1
488,3
489,1
490,3
491,3
492,2
493,3
494,1
495,1
496,2
497,3
498,1
499,1
500,3
501,3
502,1
503,1
504,1
505,1
506,1
507,3
508,1
509,3
510,1
511,2
512,3
513,3
514,3
515,1
516,3
517,3
518,3
519,3
520,3
521,3
522,3
523,1
524,3
525,1
526,1
527,3
528,3
529,3
530,3
531,3
532,1
533,3
534,3
535,1
536,3
537,1
538,1
539,1
540,1
541,3
542,1
543,3
544,3
545,1
546,3
547,1
548,2
549,1
550,3
551,1
552,3
553,3
554,3
555,1
556,3
557,3
558,3
559,2
560,3
561,3
562,3
563,1
564,1
565,1
566,3
567,3
568,3
569,3
570,1
571,3
572,3
573,2
574,1
575,1
576,1
577,1
578,1
579,3
580,1
581,3
582,3
583,3
584,1
585,1
586,1
587,1
588,3
589,1
590,1
591,3
592,1
593,1
594,1
595,2
596,2
597,3
598,3
599,3
600,3
601,3
602,1
603,1
604,3
605,1
606,3
607,3
608,1
609,1
610,2
611,1
612,3
613,3
614,3
615,3
616,1
617,1
618,2
619,3
620,3
621,3
622,3
623,3
624,3
625,3
626,1
627,3
628,3
629,1
630,3
631,2
632,1
633,1
634,3
635,1
636,1
637,3
638,1
639,3
640,1
641,3
642,3
643,2
644,1
645,1
646,3
647,3
648,1
649,3
650,3
651,1
652,3
653,3
654,2
655,2
656,1
657,3
658,1
659,2
660,1
661,3
662,1
663,3
664,1
665,3
666,3
667,3
668,1
669,3
670,3
671,1
672,3
673,3
674,1
675,3
676,3
677,3
678,1
679,3
680,2
681,1
682,3
683,3
684,3
685,1
686,3
687,3
688,3
689,1
690,1
691,2
692,3
693,1
694,3
695,3
696,1
697,3
698,1
699,3
700,3
701,1
702,1
703,3
704,3
705,3
706,1
707,3
708,1
709,3
710,1
711,3
712,2
713,3
714,1
715,1
716,1
717,3
718,1
719,3
720,3
721,3
722,1
723,1
724,1
725,1
726,3
727,3
728,3
729,3
730,1
731,1
732,3
733,2
734,3
735,3
736,1
737,3
738,2
739,2
740,3
741,3
742,2
743,3
744,1
745,1
746,3
747,3
748,3
749,1
750,1
751,3
752,3
753,3
754,3
755,3
756,3
757,1
758,1
759,3
760,3
761,3
762,1
763,2
764,2
765,3
766,1
767,1
768,3
769,2
770,2
771,3
772,1
773,3
774,3
775,2
776,1
777,1
778,1
779,1
780,1
781,3
782,3
783,3
784,3
785,3
786,3
787,1
788,3
789,1
790,3
791,3
792,3
793,1
794,1
795,3
796,3
797,3
798,3
799,3
800,1
801,1
802,3
803,1
804,3
805,3
806,1
807,3
808,1
809,1
810,1
811,1
812,1
813,3
814,1
815,1
816,1
817,2
818,1
819,3
820,3
821,3
822,1
823,3
824,1
825,3
826,1
827,1
828,1
829,3
830,3
831,1
832,3
833,3
834,3
835,1
836,3
837,3
838,1
839,2
840,3
841,3
842,1
843,3
844,3
845,1
846,3
847,3
848,3
849,3
850,1
851,3
852,1
853,2
854,1
855,3
856,3
857,3
858,3
859,3
860,1
861,1
862,1
863,1
864,1
865,3
866,3
867,3
868,1
869,3
870,2
871,3
872,1
873,3
874,3
875,3
876,3
877,3
878,3
879,1
880,3
881,3
